,r1,r2,p1,p2,gesture
366,-17.0,-87.0,-89.0,-49.0,0.0
367,-17.0,-87.0,-89.0,-49.0,0.0
368,-17.0,-87.0,-89.0,-48.0,0.0
369,-17.0,-87.0,-89.0,-48.0,0.0
370,-17.0,-87.0,-89.0,-48.0,0.0
371,-17.0,-87.0,-89.0,-48.0,0.0
372,-17.0,-87.0,-89.0,-48.0,0.0
373,-17.0,-87.0,-89.0,-48.0,0.0
374,-17.0,-87.0,-89.0,-48.0,0.0
375,-17.0,-87.0,-89.0,-48.0,0.0
376,-17.0,-87.0,-89.0,-48.0,0.0
377,-17.0,-87.0,-89.0,-48.0,0.0
378,-17.0,-87.0,-89.0,-48.0,0.0
379,-17.0,-87.0,-89.0,-48.0,0.0
380,-17.0,-87.0,-89.0,-48.0,0.0
381,-17.0,-87.0,-88.0,-48.0,0.0
382,-17.0,-87.0,-88.0,-48.0,0.0
383,-17.0,-87.0,-89.0,-48.0,0.0
384,-17.0,-87.0,-89.0,-48.0,0.0
385,-17.0,-87.0,-88.0,-48.0,0.0
386,-17.0,-87.0,-88.0,-48.0,0.0
387,-17.0,-87.0,-88.0,-48.0,0.0
388,-17.0,-87.0,-88.0,-48.0,0.0
389,-17.0,-87.0,-88.0,-48.0,0.0
390,-17.0,-87.0,-88.0,-48.0,0.0
391,-17.0,-87.0,-88.0,-48.0,0.0
392,-17.0,-87.0,-88.0,-48.0,0.0
393,-17.0,-87.0,-88.0,-48.0,0.0
394,-17.0,-87.0,-88.0,-48.0,0.0
395,-17.0,-87.0,-88.0,-48.0,0.0
396,-17.0,-87.0,-88.0,-48.0,0.0
397,-17.0,-87.0,-88.0,-48.0,0.0
398,-17.0,-87.0,-88.0,-48.0,0.0
399,-17.0,-87.0,-88.0,-48.0,0.0
400,-17.0,-87.0,-88.0,-48.0,0.0
401,-17.0,-87.0,-88.0,-48.0,0.0
402,-17.0,-87.0,-88.0,-48.0,0.0
403,-17.0,-87.0,-88.0,-48.0,0.0
404,-17.0,-87.0,-88.0,-48.0,0.0
405,-17.0,-87.0,-88.0,-48.0,0.0
406,-17.0,-87.0,-89.0,-48.0,0.0
